event_id,stormdate,wfo,efscale,start_time,end_time,duration_minutes,measured_track_miles,total_track_miles_used,avg_speed_mph,crossing_index,crossing_distance_miles,crossing_fraction,crossing_time,boundary_from,boundary_to,crossing_lon,crossing_lat,review_flag
State Line,1456271100000,MOB,EF1,2016-02-23 05:45:00 PM CST,2016-02-23 05:47:00 PM CST,2.0,1.618,1.621,48.6,1,0.555,0.34202,2016-02-23 05:45:41 PM CST,Greene,Wayne,-88.527317,31.435828,
East Lamar / West Forrest,1483390320000,,EF1,2017-01-02 02:52:00 PM CST,2017-01-02 02:59:00 PM CST,7.0,8.381,8.41,72.1,1,6.574,0.78165,2017-01-02 02:57:28 PM CST,Lamar,Forrest,-89.348939,31.123221,
HattiesburgEF3,1484991240000,,EF3,2017-01-21 03:34:00 AM CST,2017-01-21 04:05:00 AM CST,31.0,24.141,24.17,46.8,1,9.926,0.41068,2017-01-21 03:46:43 AM CST,Lamar,Forrest,-89.347854,31.273756,
HattiesburgEF3,1484991240000,,EF3,2017-01-21 03:34:00 AM CST,2017-01-21 04:05:00 AM CST,31.0,24.141,24.17,46.8,2,24.17,1.0,2017-01-21 04:05:00 AM CST,Forrest,Perry,-89.146211,31.383979,LINKED_DAT_SEGMENT:Tallahala
444596,1486484400000,,EF2,2017-02-07 10:20:00 AM CST,2017-02-07 10:56:00 AM CST,36.0,23.107,23.14,38.6,1,21.084,0.91115,2017-02-07 10:52:48 AM CST,Tangipahoa,St. Tammany,-90.243744,30.387135,
Sumrall Tornado,1576538220000,,EF3,2019-12-16 05:17:00 PM CST,2019-12-16 05:25:00 PM CST,8.0,5.834,5.84,43.8,1,5.431,0.92996,2019-12-16 05:24:26 PM CST,Lamar,Covington,-89.500076,31.433955,
SARTINVILLE/JAYESS/SOCIETY HIL,1586724360000,,EF4,2020-04-12 03:46:00 PM CDT,2020-04-12 04:05:00 PM CDT,19.0,14.522,14.54,45.9,1,2.809,0.19322,2020-04-12 03:49:40 PM CDT,Lawrence,Marion,-90.040425,31.352203,
Jeff Davis-Clarke Tor,1586725860000,,EF4,2020-04-12 04:11:00 PM CDT,2020-04-12 05:28:00 PM CDT,77.0,67.965,68.09,53.1,1,63.119,0.92699,2020-04-12 05:22:22 PM CDT,Jasper,Clarke,-88.912446,32.013128,
Lawrence-Jasper Tor,1586727540000,,EF3,2020-04-12 04:39:00 PM CDT,2020-04-12 06:10:00 PM CDT,91.0,84.327,84.4,55.6,1,56.753,0.67242,2020-04-12 05:40:11 PM CDT,Smith,Jasper,-89.316825,31.827807,
898684,1587341520000,,EF4,2020-04-19 07:12:00 PM CDT,2020-04-19 08:13:00 PM CDT,61.0,47.251,47.39,46.6,1,16.673,0.35182,2020-04-19 07:33:27 PM CDT,Marion,Lamar,-89.653755,31.134832,
