event_id,stormdate,wfo,efscale,start_time,end_time,duration_minutes,measured_track_miles,total_track_miles_used,avg_speed_mph,crossing_index,crossing_distance_miles,crossing_fraction,crossing_time,boundary_from,boundary_to,crossing_lon,crossing_lat,review_flag
Melba Seminary Tornado,1742068980000,JAN,EF2,2025-03-15 03:03:00 PM CDT,2025-03-15 03:24:00 PM CDT,21.0,18.299,18.286,52.2,1,2.668,0.1459,2025-03-15 03:06:03 PM CDT,Marion,Jefferson Davis,-89.66104,31.433777,
Melba Seminary Tornado,1742068980000,JAN,EF2,2025-03-15 03:03:00 PM CDT,2025-03-15 03:24:00 PM CDT,21.0,18.299,18.286,52.2,2,9.722,0.53165,2025-03-15 03:14:09 PM CDT,Jefferson Davis,Covington,-89.588589,31.514459,
Society Hill Carson Tornado,1742061720000,JAN,EF4,2025-03-15 01:02:00 PM CDT,2025-03-15 01:39:00 PM CDT,37.0,30.469,30.484,49.4,1,8.491,0.27854,2025-03-15 01:12:18 PM CDT,Marion,Jefferson Davis,-89.930887,31.390473,
Society Hill Carson Tornado,1742061720000,JAN,EF4,2025-03-15 01:02:00 PM CDT,2025-03-15 01:39:00 PM CDT,37.0,30.469,30.484,49.4,2,27.374,0.89797,2025-03-15 01:35:13 PM CDT,Jefferson Davis,Covington,-89.701297,31.579077,
Citronelle Tornado,1742088000000,MOB,EF1,2025-03-15 08:20:00 PM CDT,2025-03-15 08:30:00 PM CDT,10.0,6.276,6.281,37.7,1,3.054,0.48615,2025-03-15 08:24:51 PM CDT,Mobile,Washington,-88.139905,31.143927,
Choctaw Bluff Tornado,1742089680000,MOB,EF1,2025-03-15 08:48:00 PM CDT,2025-03-15 09:05:00 PM CDT,17.0,14.015,14.026,49.5,1,11.887,0.84749,2025-03-15 09:02:24 PM CDT,Clarke,Monroe,-87.706954,31.399786,
Choctaw Bluff Tornado,1742089680000,MOB,EF1,2025-03-15 08:48:00 PM CDT,2025-03-15 09:05:00 PM CDT,17.0,14.015,14.026,49.5,2,12.359,0.88117,2025-03-15 09:02:58 PM CDT,Monroe,Clarke,-87.700482,31.403813,
Kentwood-Tylertown Tornado,1742059020000,"JAN,LIX",EF4,2025-03-15 12:17:00 PM CDT,2025-03-15 01:02:00 PM CDT,45.0,37.152,37.156,49.5,1,7.399,0.19915,2025-03-15 12:25:57 PM CDT,Tangipahoa,Pike,-90.384434,30.999867,
Kentwood-Tylertown Tornado,1742059020000,"JAN,LIX",EF4,2025-03-15 12:17:00 PM CDT,2025-03-15 01:02:00 PM CDT,45.0,37.152,37.156,49.5,2,17.714,0.47675,2025-03-15 12:38:27 PM CDT,Pike,Walthall,-90.259959,31.103636,
Kentwood-Tylertown Tornado,1742059020000,"JAN,LIX",EF4,2025-03-15 12:17:00 PM CDT,2025-03-15 01:02:00 PM CDT,45.0,37.152,37.156,49.5,3,37.142,0.99964,2025-03-15 01:01:59 PM CDT,Walthall,Marion,-90.040435,31.311497,
Pine Burr Tornado,1743420600000,JAN,EF2,2025-03-31 06:30:00 AM CDT,2025-03-31 06:47:00 AM CDT,17.0,7.39,7.407,26.1,1,5.306,0.71641,2025-03-31 06:42:10 AM CDT,Marion,Lamar,-89.653813,31.155964,
